product_name,category,days_to_expiry,base_price,discount_percentage,discounted_price,stock_available,daily_sales
coriander,vegetable,1,13.739194422188483,5,13.052234701079058,312,45
bitter guard,vegetable,3,45.213855023696325,30,31.649698516587424,302,4
papaya,fruit,9,65.55221586707752,25,49.164161900308144,336,13
coriander,vegetable,2,14.386328970311277,0,14.386328970311277,382,9
grapes,fruit,5,106.78919241744074,20,85.43135393395261,444,38
chikoo,fruit,3,79.96724508765796,20,63.97379607012637,250,34
fenugreek,vegetable,3,26.614617077484457,5,25.28388622361023,401,45
pomegranate,fruit,15,238.63883284077042,0,238.63883284077042,256,10
coriander,vegetable,1,17.278185565810542,5,16.414276287520014,28,4
bottleguard,vegetable,3,36.468939715979104,0,36.468939715979104,69,39
bottleguard,vegetable,1,40.09868456443233,0,40.09868456443233,482,21
cucumber,vegetable,6,42.37557352003317,5,40.25679484403151,405,33
pineapple,fruit,4,136.16505713915464,20,108.93204571132372,112,30
pomegranate,fruit,21,153.2337961988692,5,145.57210638892573,474,22
pineapple,fruit,6,95.10776339859515,20,76.08621071887613,297,38
grapes,fruit,1,67.55119524018647,30,47.28583666813053,43,32
brinjal,vegetable,1,43.34679496411146,30,30.34275647487802,194,12
apple,fruit,3,152.19018192163315,25,114.14263644122487,395,19
fenugreek,vegetable,2,30.94061005456202,20,24.752488043649617,356,13
guava,fruit,9,67.46052109797334,5,64.08749504307467,219,43
cucumber,vegetable,2,29.151905951163243,30,20.40633416581427,388,35
apple,fruit,17,212.16810086520076,30,148.51767060564052,268,38
brinjal,vegetable,5,77.08241624714472,20,61.66593299771578,225,13
bottleguard,vegetable,2,65.10498661665412,10,58.59448795498871,217,49
lady finger,vegetable,1,42.569387186697575,25,31.92704039002318,383,15
lady finger,vegetable,3,40.37824493705822,15,34.32150819649949,410,18
bitter guard,vegetable,3,69.09343510849455,5,65.63876335306982,403,3
guava,fruit,10,95.64344427282398,15,81.29692763190039,161,36
grapes,fruit,5,97.94949842366225,0,97.94949842366225,470,41
bottleguard,vegetable,2,52.92036022628953,10,47.62832420366058,421,7
apple,fruit,22,184.85456171844868,30,129.39819320291406,32,8
fenugreek,vegetable,1,33.6261016223994,5,31.94479654127943,70,14
banana,fruit,1,51.56504950650712,25,38.67378712988034,170,3
mushroom,vegetable,1,108.70619419634036,10,97.83557477670632,68,46
mushroom,vegetable,3,112.17681684906228,10,100.95913516415605,58,11
cucumber,vegetable,5,22.70587326932092,20,18.16469861545674,177,37
bottleguard,vegetable,5,52.61927066944172,0,52.61927066944172,419,4
cucumber,vegetable,6,43.32925747898672,10,38.99633173108805,444,44
lady finger,vegetable,3,52.079070474868814,0,52.079070474868814,417,29
fenugreek,vegetable,2,25.81811514332913,25,19.36358635749685,402,10
apple,fruit,16,154.57510034116066,10,139.1175903070446,177,35
pineapple,fruit,6,80.96262975637984,0,80.96262975637984,25,26
cucumber,vegetable,6,27.422904424285097,25,20.567178318213823,416,1
papaya,fruit,5,52.761574141395315,25,39.57118060604648,206,46
guava,fruit,12,60.83921249421988,5,57.797251869508884,127,38
apple,fruit,26,108.87161278373941,15,92.5408708661785,329,16
pomegranate,fruit,19,154.22862673868968,10,138.80576406482072,155,17
fenugreek,vegetable,1,38.76731871862368,20,31.013854974898944,91,22
apple,fruit,13,213.51073035626837,5,202.83519383845493,210,22
mushroom,vegetable,4,118.37928457904565,10,106.54135612114108,227,2
lady finger,vegetable,1,30.561037834876565,20,24.448830267901254,14,37
fenugreek,vegetable,3,32.31198487425032,0,32.31198487425032,126,5
lady finger,vegetable,3,37.271490330494245,5,35.40791581396953,493,13
grapes,fruit,5,73.92256587097967,20,59.13805269678374,82,31
bitter guard,vegetable,3,58.557310930369184,5,55.62944538385072,138,23
bottleguard,vegetable,4,40.673991565622686,5,38.64029198734155,476,11
cucumber,vegetable,3,42.19775875213196,10,37.977982876918766,493,48
banana,fruit,3,53.69943732948468,30,37.589606130639275,54,3
lady finger,vegetable,1,33.922816663326664,10,30.530534996994,142,12
coriander,vegetable,1,23.834359960304635,10,21.45092396427417,231,3
papaya,fruit,4,45.44215637677264,30,31.809509463740845,237,49
bitter guard,vegetable,2,57.68231028395331,20,46.14584822716265,89,19
bottleguard,vegetable,6,59.75983277913785,5,56.77184114018096,177,49
grapes,fruit,3,75.72460301248205,5,71.93837286185794,467,25
lady finger,vegetable,2,51.500199106080814,30,36.05013937425657,25,18
pomegranate,fruit,24,120.47398222420301,30,84.3317875569421,23,38
banana,fruit,7,31.742573767555673,0,31.742573767555673,456,14
lady finger,vegetable,3,47.07189775410068,25,35.30392331557551,149,48
pomegranate,fruit,2,191.31597043123935,25,143.48697782342953,109,11
banana,fruit,7,36.991578052655164,0,36.991578052655164,443,17
brinjal,vegetable,3,44.198688032560646,15,37.56888482767655,283,44
mushroom,vegetable,1,81.98765181726078,0,81.98765181726078,210,10
